MAG	Function	sampling_time	enterotype	mean_value
ERR4303137bin.30	B03	21	standard	0
ERR4303137bin.30	B03	35	distinct	0.12437216772505626
ERR4303137bin.30	B03	35	standard	0.12141996518160383
ERR4303137bin.30	B06	7	distinct	0
ERR4303137bin.30	B06	7	standard	0
ERR4303137bin.30	B06	21	distinct	0.005601999325717549
ERR4303137bin.30	B06	21	standard	0.21133792185626138
ERR4303137bin.30	B06	35	distinct	0.2521638779231375
ERR4303137bin.30	B06	35	standard	0.31587703104436027
ERR4303137bin.30	D01	7	distinct	0
ERR4303137bin.30	D01	7	standard	0
ERR4303137bin.30	D01	21	distinct	0
ERR4303137bin.30	D01	21	standard	0
ERR4303137bin.30	D01	35	distinct	0
ERR4303137bin.30	D01	35	standard	0
ERR4303137bin.30	D06	7	distinct	0
ERR4303137bin.30	D06	7	standard	0
ERR4303137bin.30	D06	21	distinct	0
ERR4303137bin.30	D06	21	standard	0
ERR4303137bin.30	D06	35	distinct	0
ERR4303137bin.30	D06	35	standard	0
ERR4303137bin.34	B03	7	distinct	0
ERR4303137bin.34	B03	7	standard	0
ERR4303137bin.34	B03	21	distinct	0
ERR4303137bin.34	B03	21	standard	0
ERR4303137bin.34	B03	35	distinct	0
ERR4303137bin.34	B03	35	standard	0
ERR4303137bin.34	B06	7	distinct	0
ERR4303137bin.34	B06	7	standard	0
ERR4303137bin.34	B06	21	distinct	0
ERR4303137bin.34	B06	21	standard	0
ERR4303137bin.34	B06	35	distinct	0
ERR4303137bin.34	B06	35	standard	0
ERR4303137bin.34	D01	7	distinct	0
ERR4303137bin.34	D01	7	standard	0
ERR4303137bin.34	D01	21	distinct	0
ERR4303137bin.34	D01	21	standard	0
ERR4303137bin.34	D01	35	distinct	0
ERR4303137bin.34	D01	35	standard	0
ERR4303137bin.34	D06	7	distinct	0
ERR4303137bin.34	D06	7	standard	0
ERR4303137bin.34	D06	21	distinct	0
ERR4303137bin.34	D06	21	standard	0
ERR4303137bin.34	D06	35	distinct	0
ERR4303137bin.34	D06	35	standard	0
ERR4303137bin.35	B03	7	distinct	0
ERR4303137bin.35	B03	7	standard	0.03369313891079851
ERR4303137bin.35	B03	21	distinct	0.016722594342600754
ERR4303137bin.35	B03	21	standard	0.017134398046949793
ERR4303137bin.35	B03	35	distinct	0.14638155144102227
ERR4303137bin.35	B03	35	standard	0.029146779757307374
ERR4303137bin.35	B06	7	distinct	2.385584480401419
ERR4303137bin.35	B06	7	standard	0.5099688434947023
ERR4303137bin.35	B06	21	distinct	0.5504176452507482
ERR4303137bin.35	B06	21	standard	1.4072693722680178
ERR4303137bin.35	B06	35	distinct	0.9222891023610036
ERR4303137bin.35	B06	35	standard	1.0924719692924363
ERR4303137bin.35	D01	7	distinct	0.8449143053194397
ERR4303137bin.35	D01	7	standard	0.24443756945262635
ERR4303137bin.35	D01	21	distinct	0.30076724797063586
ERR4303137bin.35	D01	21	standard	0.49676787075433043
ERR4303137bin.35	D01	35	distinct	1.104606266063304
ERR4303137bin.35	D01	35	standard	0.8347211838512112
ERR4303137bin.35	D06	7	distinct	0.0031883440486178594
ERR4303137bin.35	D06	7	standard	0.023621599658829946
ERR4303137bin.35	D06	21	distinct	0.045741322558890865
ERR4303137bin.35	D06	21	standard	0.036490303749906514
ERR4303137bin.35	D06	35	distinct	0.09594119454946733
ERR4303137bin.35	D06	35	standard	0.041085260628259575
ERR4303138bin.28	B03	7	distinct	0.14041106453057936
ERR4303138bin.28	B03	7	standard	0.1437570009967329
ERR4303138bin.28	B03	21	distinct	7.476058277808651
ERR4303138bin.28	B03	21	standard	4.680549288384381
ERR4303138bin.28	B03	35	distinct	3.2293539411037595
ERR4303138bin.28	B03	35	standard	4.726978776921112
ERR4303138bin.28	B06	7	distinct	0.07305889794045743
ERR4303138bin.28	B06	7	standard	0.36142208579678237
ERR4303138bin.28	B06	21	distinct	18.870800545173573
