animal_code	trial	pen	age	sampling_time	sampling_date	chicken_body_weight	has_salmonella	has_clostridium	has_campylobacter	treatment	sex	breed	enterotype	dmm
CB01.05	CB	CB01	8	7	2019-05-07	230.3	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb	standard	1
CB02.03	CB	CB02	7	7	2019-05-06	166.3	FALSE	FALSE	FALSE	phytobiotic	Male	Ross	standard	1
CB03.03	CB	CB03	7	7	2019-05-06	156.5	FALSE	FALSE	FALSE	control	Male	Cobb	standard	1
CB03.05	CB	CB03	8	7	2019-05-07	226.2	FALSE	FALSE	FALSE	control	Male	Cobb	standard	1
CB04.03	CB	CB04	7	7	2019-05-06	168.7	FALSE	FALSE	FALSE	phytobiotic	Female	Ross	standard	1
CB04.06	CB	CB04	8	7	2019-05-07	207.9	NA	NA	NA	phytobiotic	Female	Ross	standard	1
CB05.01	CB	CB05	7	7	2019-05-06	152	FALSE	FALSE	FALSE	probiotic	Female	Ross	standard	1
CB05.02	CB	CB05	7	7	2019-05-06	172.5	FALSE	FALSE	FALSE	probiotic	Female	Ross	standard	1
CB05.03	CB	CB05	7	7	2019-05-06	170	FALSE	FALSE	FALSE	probiotic	Female	Ross	standard	1
CB05.06	CB	CB05	8	7	2019-05-07	228.3	NA	NA	NA	probiotic	Female	Ross	standard	1
CB06.02	CB	CB06	7	7	2019-05-06	169.7	FALSE	FALSE	FALSE	control	Female	Cobb	standard	1
CB06.06	CB	CB06	8	7	2019-05-07	198.6	NA	NA	NA	control	Female	Cobb	standard	1
CB07.01	CB	CB07	7	7	2019-05-06	181.4	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb	standard	1
CB07.04	CB	CB07	8	7	2019-05-07	248.1	NA	NA	NA	phytobiotic	Male	Cobb	standard	1
CB07.06	CB	CB07	8	7	2019-05-07	226.8	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb	standard	1
CB08.02	CB	CB08	7	7	2019-05-06	190.2	FALSE	FALSE	FALSE	probiotic	Male	Cobb	standard	1
CB08.03	CB	CB08	7	7	2019-05-06	179.3	FALSE	FALSE	FALSE	probiotic	Male	Cobb	standard	1
CB08.04	CB	CB08	8	7	2019-05-07	203.4	FALSE	FALSE	FALSE	probiotic	Male	Cobb	standard	1
CB09.02	CB	CB09	7	7	2019-05-06	184.6	NA	NA	NA	probiotic	Male	Ross	standard	1
CB10.01	CB	CB10	7	7	2019-05-06	170.7	FALSE	FALSE	FALSE	control	Female	Ross	standard	1
CB10.04	CB	CB10	8	7	2019-05-07	221.7	FALSE	FALSE	FALSE	control	Female	Ross	standard	1
CB10.05	CB	CB10	8	7	2019-05-07	164.5	NA	NA	NA	control	Female	Ross	standard	1
CB11.03	CB	CB11	7	7	2019-05-06	168.8	FALSE	FALSE	FALSE	probiotic	Female	Cobb	standard	1
CB11.04	CB	CB11	8	7	2019-05-07	243.7	NA	NA	NA	probiotic	Female	Cobb	standard	1
CB12.03	CB	CB12	7	7	2019-05-06	188.9	FALSE	FALSE	FALSE	control	Male	Ross	standard	1
CB12.06	CB	CB12	8	7	2019-05-07	224	NA	NA	NA	control	Male	Ross	standard	1
CB13.01	CB	CB13	7	7	2019-05-06	152.3	NA	NA	NA	control	Female	Cobb	standard	1
CB13.04	CB	CB13	8	7	2019-05-07	210.3	FALSE	FALSE	FALSE	control	Female	Cobb	standard	1
CB13.05	CB	CB13	8	7	2019-05-07	241.5	FALSE	FALSE	FALSE	control	Female	Cobb	standard	1
CB14.02	CB	CB14	7	7	2019-05-06	156.4	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb	standard	1
CB14.03	CB	CB14	7	7	2019-05-06	198.6	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb	standard	1
CB15.01	CB	CB15	7	7	2019-05-06	191.4	NA	NA	NA	probiotic	Female	Ross	standard	1
CB15.02	CB	CB15	7	7	2019-05-06	211.7	FALSE	FALSE	FALSE	probiotic	Female	Ross	standard	1
CB15.04	CB	CB15	8	7	2019-05-07	199.2	FALSE	FALSE	FALSE	probiotic	Female	Ross	standard	1
CB16.02	CB	CB16	7	7	2019-05-06	155.7	NA	NA	NA	phytobiotic	Male	Cobb	standard	1
CB16.03	CB	CB16	7	7	2019-05-06	183.4	NA	NA	NA	phytobiotic	Male	Cobb	standard	1
CB16.06	CB	CB16	8	7	2019-05-07	239.3	NA	NA	NA	phytobiotic	Male	Cobb	standard	1
CB17.02	CB	CB17	7	7	2019-05-06	219.5	NA	NA	NA	control	Male	Cobb	standard	1
CB17.03	CB	CB17	7	7	2019-05-06	180.8	NA	NA	NA	control	Male	Cobb	standard	1
CB17.05	CB	CB17	8	7	2019-05-07	169.7	NA	NA	NA	control	Male	Cobb	standard	1
CB18.03	CB	CB18	7	7	2019-05-06	171.3	NA	NA	NA	phytobiotic	Male	Ross	standard	1
CB18.04	CB	CB18	8	7	2019-05-07	224.5	FALSE	FALSE	FALSE	phytobiotic	Male	Ross	standard	1
CB19.03	CB	CB19	7	7	2019-05-06	157.1	NA	NA	NA	probiotic	Male	Ross	standard	1
CB19.04	CB	CB19	8	7	2019-05-07	228.2	FALSE	FALSE	FALSE	probiotic	Male	Ross	standard	1
CB20.02	CB	CB20	7	7	2019-05-06	188.8	NA	NA	NA	control	Male	Ross	standard	1
CB20.03	CB	CB20	7	7	2019-05-06	197.4	FALSE	FALSE	FALSE	control	Male	Ross	standard	1
CB20.06	CB	CB20	8	7	2019-05-07	224.1	NA	NA	NA	control	Male	Ross	standard	1
CB21.03	CB	CB21	7	7	2019-05-06	176	NA	NA	NA	phytobiotic	Female	Ross	standard	1
CB22.03	CB	CB22	7	7	2019-05-06	168.1	NA	NA	NA	control	Female	Ross	standard	1
CB23.02	CB	CB23	7	7	2019-05-06	178.9	NA	NA	NA	probiotic	Female	Cobb	standard	1
CB23.05	CB	CB23	8	7	2019-05-07	226.8	FALSE	FALSE	FALSE	probiotic	Female	Cobb	standard	1
CB24.03	CB	CB24	7	7	2019-05-06	185.8	NA	NA	NA	probiotic	Male	Cobb	standard	1
