pen	body_weight_at_day_00_g	body_weight_at_day_07_g	body_weight_at_day_21_g	body_weight_at_day_35_g	average_daily_gain_g_day_00_07	average_daily_feed_intake_g_day_00_07	feed_to_conversion_ratio_g_g_day_00_07	fcr_not_corrected_day_00_07	mortality_percent_day_00_07	mortality_percent_without_culleds_day_00_07	european_performance_efficiency_factor_day_00_07	average_daily_gain_g_day_07_21	average_daily_feed_intake_g_day_07_21	feed_to_conversion_ratio_g_g_day_07_21	fcr_not_corrected_day_07_21	mortality_percent_day_07_21	mortality_percent_without_culleds_day_07_21	european_performance_efficiency_factor_day_07_21	average_daily_gain_g_day_21_35	average_daily_feed_intake_g_day_21_35	feed_to_conversion_ratio_g_g_day_21_35	fcr_not_corrected_day_21_35	mortality_percent_day_21_35	mortality_percent_without_culleds_day_21_35	european_performance_efficiency_factor_day_21_35	average_daily_gain_g_day_00_35	average_daily_feed_intake_g_day_00_35	feed_to_conversion_ratio_g_g_day_00_35	fcr_not_corrected_day_00_35	mortality_percent_day_00_35	mortality_percent_without_culleds_day_00_35	european_performance_efficiency_factor_day_00_35	litter_at_day_07_p_h	litter_at_day_21_p_h	litter_at_day_35_p_h	carcass_body_weight_mean_g	carcass_weight_mean_g	breast_weight_mean_g	legs_weight_mean_g	abdominal_fat_weight_mean_g	carcass_yield_mean_percent	breast_yield_mean_percent	legs_yield_mean_percent	abdominal_fat_yield_mean_percent	tbars_mean_mg_mda_kg	cortisol_at_day_07_mean_feather_pg_mg	cortisol_at_day_21_mean_feather_pg_mg	cortisol_at_day_35_mean_feather_pg_mg	crp_at_day_07_mean_pg_ml	crp_at_day_21_mean_pg_ml	crp_at_day_35_mean_pg_ml	hpt_at_day_07_mean_ng_ml	hpt_at_day_21_mean_ng_ml	hpt_at_day_35_mean_ng_ml	lps_at_day_07_mean_ng_l	lps_at_day_21_mean_ng_l	lps_at_day_35_mean_ng_l
CA11	39.87	164.03	838.03	2162.69	17.74	18.67	1.052	1.052	0	0	168.53	48.14	64.63	1.342	1.342	0	0	358.63	94.62	169.2	1.788	1.899	5.88	5.88	497.99	60.65	95.06	1.567	1.62	5	5	367.62	5.88	7.49	8.02	2528	1906.24	435.16	524.46	36.12	75.38	16.99	20.93	1.42	0.05	13.745	11.5033	12.8867	1.05357	1.05357	1.05357	1.24878	0.59161	0.64114	3.39576	2.97321	3.10262
CA10	38.5	157.28	779.18	1931.64	16.97	18.7	1.102	1.102	0	0	154	44.42	57.43	1.293	1.293	0	0	343.57	82.32	157.32	1.911	1.911	0	0	430.75	54.09	87.62	1.62	1.62	0	0	333.92	5.76	6.12	6.99	2129.17	1603.88	400.85	428.73	31.33	75.19	18.7	20.14	1.46	0.06	13.9667	12.06	14.0517	1.05357	1.05357	1.05357	1.67611	0.59161	0.69091	3.52857	2.97321	2.97321
CA09	42.55	163.9	878.47	2176.56	17.34	19.32	1.114	1.114	0	0	155.56	51.04	63.65	1.247	1.247	0	0	409.32	92.72	166.63	1.797	1.847	2.94	2.94	500.77	60.97	93.76	1.538	1.561	2.5	2.5	386.58	5.98	6.76	7.35	2303.67	1777.22	484.98	445.92	43.05	77.13	21	19.41	1.87	0.0467	12.4133	11.61	11.2	1.05357	1.05357	1.05357	1.78828	0.65112	0.95639	3.6532	2.97321	2.97321
CA08	39.15	164.08	850.65	2205.59	17.85	18.72	1.049	1.049	0	0	170.14	49.04	60.43	1.232	1.232	0	0	398.01	96.78	167.96	1.735	1.82	2.94	2.94	541.27	61.9	93.33	1.508	1.549	2.5	2.5	400.28	8.18	8.31	6.92	2482.83	1898.87	454.33	522.3	36.88	76.54	18.26	21.05	1.49	0.0467	14.815	10.7383	13.6433	1.05357	1.05357	1.05357	0.83476	0.67634	0.70451	3.58229	3.06905	3.07698
CA07	43.39	174.38	980.61	2430	18.71	20.17	1.078	1.078	0	0	173.61	57.59	75.14	1.305	1.317	2.5	2.5	430.32	103.53	167.66	1.619	1.706	3.03	3.03	619.9	68.19	99.64	1.461	1.509	5	5	443.31	6.68	7.92	7.56	2730.5	2155.65	544.02	549.48	42.42	78.77	19.76	20.12	1.55	0.0433	14.0567	10.145	16.1817	1.28792	1.05357	1.05357	1.24638	0.59161	0.92646	3.21657	2.97321	2.97321
CA06	43.72	173.38	979.56	2187.64	18.52	19.94	1.076	1.076	0	0	172.07	57.58	79.21	1.375	1.375	0	0	418.65	86.29	154.04	1.785	1.785	0	0	483.39	61.26	95.61	1.561	1.561	0	0	392.46	5.67	7.38	6.5	2820.67	2157.23	560.28	555.15	49.97	76.47	19.75	19.74	1.77	0.0433	10.0383	9.53	16.72	1.50581	1.05357	1.05357	0.99283	0.74412	0.81179	2.97321	3.12811	3.07513
CA05	40.44	162.25	778.65	1974.64	17.4	19.78	1.137	1.137	0	0	153.08	44.03	60.67	1.378	1.378	0	0	319.52	85.43	152.31	1.783	1.783	0	0	479.15	55.26	87.69	1.587	1.587	0	0	348.29	8.24	8.31	6.99	2163.83	1646.13	410.93	432.92	34.55	76.07	18.97	20.01	1.6	0.0367	10.735	10.995	10.5117	1.05357	1.05357	1.05357	0.6646	0.59161	0.59161	2.97321	3.10062	2.97321
CA04	43.39	171.18	904.09	2139.81	18.26	19.43	1.064	1.064	0	0	171.49	52.35	66.15	1.264	1.264	0	0	414.3	88.27	171.1	1.938	2.081	5.88	5.88	428.56	59.9	95.83	1.6	1.659	5	5	355.68	5.79	7.66	7	2403	1896.43	527.37	477.13	44.78	78.86	21.91	19.87	1.85	0.0333	8.9467	8.3233	12.288	1.05357	1.05357	1.05357	1.39967	0.87942	0.59161	2.97321	2.97321	3.14268
CA03	42.73	171.03	885.71	2080.57	18.33	19.74	1.077	1.077	0	0	170.16	51.05	62.58	1.226	1.226	0	0	416.45	85.35	160.49	1.88	1.88	0	0	453.87	58.22	91.09	1.564	1.564	0	0	372.18	6.08	7.54	6.89	2343	1812.52	498.1	458.4	36.6	77.38	21.24	19.56	1.58	0.0633	9.0433	7.2683	8.375	1.89721	1.05357	1.05357	0.83619	0.59161	0.63706	3.08982	2.97321	3.80262
CA02	39.67	166.36	860.76	2082.7	18.1	19.38	1.071	1.095	2.5	0	164.83	49.6	62.64	1.263	1.263	0	0	392.76	87.28	168.32	1.928	1.928	0	0	452.6	58.37	93.76	1.606	1.609	2.5	0	354.33	7.17	7.31	5.56	2451.67	1910.92	501.4	490.7	40.02	77.93	20.47	19.98	1.65	0.05	7.4533	8.1867	11.195	1.05357	1.05357	1.05357	0.59161	0.59161	0.75072	2.97321	3.07721	3.9445
CA01	42.98	171.88	1009.15	2542.32	18.41	19.5	1.059	1.059	0	0	173.89	59.81	79.55	1.33	1.33	0	0	449.64	109.51	166.38	1.519	1.519	0	0	720.83	71.41	101.25	1.418	1.418	0	0	503.64	5.61	5.93	6.98	2818.33	2170.12	596.05	554.57	34.73	77.03	21.14	19.68	1.23	0.0367	8.56	11.0233	18.935	1.21127	1.05357	1.05357	0.64711	0.7854	0.66854	2.97321	2.97321	3.87578
