animal_code	chicken_body_weight	crp_pg_ml	pit54_ng_ml	lps_ng_l	cor_pg_mg
CA11.08	845.6	0.13	32.36	8.09	10.9
CA11.09	769.4	0	31.49	7.2	11.69
CA11.10	883.2	0	32.53	6.98	9.62
CA11.11	1004.6	0	31.7	7.65	11.96
CA11.12	1053.4	0	29.15	6.87	13.16
CA11.13	2364.8	0.2	0	9.15	13.01
CA11.14	1830.8	0.16	0	8.87	9.14
CA11.15	2044.2	0.15	78.86	9.5	17.81
CA11.16	2074.4	0.08	0	10.57	10.56
CA11.17	2463.6	0.2	0	14.06	10.9
CA11.18	2189	0.2	0	9.79	15.9
CA12.01	179.6	0.7	153.84	12.55	7.96
CA12.02	191	0.38	39.37	13.74	3.4
CA12.03	162.4	0.27	83.35	12.67	5.79
CA12.04	182.6	0.28	322.16	12.46	18.17
CA12.05	215.6	0.44	578.04	12.42	14.68
CA12.06	165.4	0.59	592.05	14.09	18.52
CA12.07	847.8	0	31.53	7.2	10.74
CA12.08	943	0	31.37	8.87	10.69
CA12.09	816.4	0	31.52	7.53	13.32
CA12.10	856.6	0	33.19	6.09	9.5
CA12.11	1146.8	0	33.57	6.87	16.15
CA12.12	845.4	0	38.57	7.53	14.08
CA12.13	1501.8	0.1	0	8.94	13.05
CA12.14	2376.6	0.24	7	9.64	14.93
CA12.15	2189.8	0.05	0	9.08	12.87
CA12.16	2201.2	0.16	0	11.37	9.41
CA12.17	2417.4	0.23	340.31	10.14	10.33
CA12.18	2248.4	0.19	0	13.15	15.2
CA13.01	172.4	5.18	33.43	14.4	15.51
CA13.02	171	1.11	215.65	12.93	10.09
CA13.03	218.4	0.37	368.89	14.09	8.42
CA13.04	207.8	0.27	1185.9	12.67	15
CA13.05	203.4	0.26	68.09	13.35	10.8
CA13.06	166.8	0.3	295.49	13.48	11.71
CA13.07	1008.2	0.41	49.92	16.36	12.53
CA13.08	1090.4	0.51	47.76	18.83	17.47
CA13.09	1047.2	0.65	56	16.53	12.61
CA13.10	1054.4	0.52	45.64	15	14.41
CA13.11	1057.6	0.41	387.33	15.33	17.99
CA13.12	820.6	0.85	59.03	16.71	15.38
CA13.13	2230.4	0.1	0	10.86	18.06
CA13.14	2911.4	0.16	21.55	9.08	15.78
CA13.15	2317	0.24	32.43	8.8	16.6
CA13.16	3134.6	0.06	65.71	9.93	18.5
CA13.17	2378	0.12	60.79	10	20.68
CA13.18	2402.6	0.15	5.06	9.29	15.9
CA14.01	194.8	1.17	87.08	12.63	8.21
CA14.02	160	1.2	175.05	15.02	10.08
CA14.03	169.2	0.26	109.74	13.7	5.53
CA14.04	188	0.33	556.72	15.61	14.01
CA14.05	205.6	0.48	607.53	12.46	7.75
CA14.06	188.4	0.36	566.7	13.44	8.98
CA14.07	1067.6	0.8	52.39	17.67	10.26
CA14.08	1019.6	0.71	45.6	15.84	11.82
CA14.09	820.2	0.49	46.47	15.08	8.37
CA14.10	897.4	0.61	51.52	16.02	10.21
CA14.11	794	0.54	45.85	15.93	9.57
CA14.12	973.6	0.49	50.99	15.42	11.76
CA14.13	1819	13.98	0	10.5	17.26
CA14.14	2293.8	0.13	0	11.01	18.81
CA14.15	2089.6	0.62	6.78	11.52	18.86
CA14.16	2245.8	0.65	0	10.21	12.3
CA14.17	2369	0.33	0	12.48	10.74
CA14.18	1944	0.07	0	9.01	11.18
CA15.01	181.4	0.34	9.32	13.91	5.97
CA15.02	198.2	0.75	28.34	14.53	8.25
CA15.03	236.2	0.25	119.05	13.39	6.75
CA15.04	217.6	0.28	143.77	13.35	13.92
CA15.05	220.4	0.3	115.17	13.05	12.12
CA15.06	158	0.38	150.65	13.05	11.48
CA15.07	1088	0.43	46.33	16.53	9.57
CA15.08	972.6	0.72	47.54	15.84	12.28
CA15.09	1024.6	0.61	45.99	18.38	9.02
CA15.10	1123.6	0.57	131.2	16.45	8.26
