animal_code	chicken_body_weight	crp_pg_ml	pit54_ng_ml	lps_ng_l	cor_pg_mg
CC14.01	159.1	4.73	0	30.74	7.48
CC14.02	176.9	5.72	0	33.67	9.6
CC14.03	152.4	6.26	29.6	27.51	5.47
CC14.04	188.6	5.9	1.24	17.34	5.4
CC14.05	202.5	4.49	0	25.68	5.05
CC14.06	178.6	4.01	5.71	23.78	6.81
CC14.07	866	15.96	44.09	3.69	10.47
CC14.08	984	5.54	14.6	14.93	9.34
CC14.09	792	5.4	13.75	19.12	13.94
CC14.10	892	17.09	19.42	13.77	21.09
CC14.11	964	8.27	25.29	11.47	14.67
CC14.12	1002	7.78	25.32	6.19	21.35
CC14.13	1770	1.16	0	34.74	13.55
CC14.14	2116	1.13	0	35.15	10.29
CC14.15	1930	1.78	0	35.78	15.36
CC14.16	1750	0.83	0	36.53	14.17
CC14.17	1890	1.71	40.86	66.46	16.37
CC14.18	1836	1.56	0	35.89	10.25
CC15.01	178.4	4.44	322.37	26.09	8.88
CC15.02	176.6	2.87	0	22.33	6.78
CC15.03	182.8	5.25	44.99	29.54	8.77
CC15.04	192.4	5.26	0	26.23	7.5
CC15.05	205.6	5.06	81.43	43.77	6.19
CC15.06	200.7	8.43	0	49.01	4.64
CC15.07	728	5.49	34.81	10.55	17.77
CC15.08	970	24.1	13.7	15.16	18.67
CC15.09	1020	4.71	13.57	10.55	15.18
CC15.10	962	0.02	61.65	12.85	9.55
CC15.11	1040	1.32	13.44	24.74	5.49
CC15.12	884	2	24.98	19.35	13.44
CC15.13	1660	0.9	0	32.73	22.57
CC15.14	2468	1.04	0	36.42	29.82
CC15.15	1950	1.45	0	34.33	21.98
CC15.16	2260	1.53	0	35.05	38.45
CC15.17	2334	1.91	0	39.63	39.52
CC15.18	2270	1.1	0	34.84	9.73
CC16.01	170.5	0.73	19.62	41.72	5.76
CC16.02	171.2	3.6	0	43.08	4.88
CC16.03	146.4	2.42	114.92	35.85	7.04
CC16.04	198.7	2.66	25.57	41.2	10.99
CC16.05	183.4	3.91	0	39.18	4.71
CC16.06	215.8	6.73	39.4	39.01	9.48
CC16.07	772	8.76	15.02	17.49	10.57
CC16.08	714	6.18	36.53	10.32	5.42
CC16.09	766	15.15	29.34	15.63	14.64
CC16.10	780	14.51	13.5	12.16	9.11
CC16.11	940	15.44	18.36	7.11	17.31
CC16.12	810	3.64	15.52	9.86	10.31
CC16.13	1394	0.87	0	35.78	17.3
CC16.14	1514	0.97	0	35.57	13.64
CC16.15	1502	0.54	0	38.06	13.78
CC16.16	1920	0.87	0	36.1	2.83
CC16.17	1766	0.28	0	31.48	4.1
CC16.18	1824	0.62	0	38.5	7.15
CC17.01	166.9	4.02	0	47.25	6.79
CC17.02	183.5	5.21	25.57	46.9	7.22
CC17.03	202.4	3.32	484.4	42.4	5.53
CC17.04	235.1	4.57	0	37.17	8.53
CC17.05	220.7	5.89	0	36.34	5.03
CC17.06	254.4	2.76	436.69	34.37	6.53
CC17.07	922	3.68	15.52	24.27	9.7
CC17.08	1116	5.54	52.04	21.92	6.02
CC17.09	1134	5.63	53.23	21.22	31.89
CC17.10	1252	16.48	86.25	18.65	9.83
CC17.11	948	17.09	36.14	16.09	11.89
CC17.12	1148	12.53	37.01	21.22	14.98
CC17.13	1954	1.55	0	38.95	13.23
CC17.14	2180	1.43	0	36.1	29.1
CC17.15	1748	1.31	0	39.98	27.37
CC17.16	2428	1.08	0	36.42	36.43
CC17.17	1880	0.82	0	36.96	15.01
CC17.18	1914	0.72	0	34.23	11.34
CC18.01	165.5	1.35	0	42.23	5.8
CC18.02	167.4	3.1	0	42.06	12.07
CC18.03	173.9	4.12	0	41.2	8.06
CC18.04	182.1	4.73	0	48.13	16.18
CC18.05	163.1	0.83	0	38.34	8.53
CC18.06	212.1	3.08	462.24	39.68	24.24
CC18.07	788	3.42	30.48	19.35	17.45
CC18.08	910	6.67	22.92	21.22	7.15
CC18.09	750	6.23	13.44	18.18	6.86
CC18.10	648	9.91	43.04	26.16	7.13
CC18.11	1118	15.44	13.75	24.27	9.79
CC18.12	814	28.34	15.13	10.32	7.05
CC18.13	1820	1.73	0	38.61	5.82
CC18.14	1842	1.1	271.7	39.98	4.68
CC18.15	2204	0.98	0	44.54	17.02
CC18.16	1814	0.65	0	36.96	15.96
CC18.17	1738	0.7	0	38.17	7.76
CC18.18	1710	0.6	0	40.09	7.68
CC19.01	181.1	5.58	31.65	35.68	11.81
CC19.02	177.9	4.38	0	42.23	10.01
CC19.03	198.2	5.2	20.78	40.7	NA
CC19.04	192.1	7.55	123.49	39.85	8.81
CC19.05	189.1	5.36	0	47.07	3.88
CC19.06	191.1	5.3	13.87	37.17	12.48
CC19.07	740	6.04	22.09	14.47	7.14
CC19.08	662	10.93	15.14	24.03	9.66
CC19.09	1006	1.95	14.5	22.39	9.05
CC19.10	960	3.91	17.05	21.22	3.46
CC19.11	980	22.5	17.2	33.28	3.62
CC19.12	880	10.26	19.42	24.03	5.28
CC19.13	1982	0.82	0	39.63	5.07
CC19.14	2124	0.79	0	37.4	2.05
CC19.15	2010	0.79	0	38.28	2.2
CC19.16	1989	0.76	0	40.56	7.4
CC19.17	1610	1.2	0	35.89	2.63
CC19.18	2046	0.64	0	40.91	2.32
CC20.01	183	2.69	419.41	39.35	4.44
CC20.02	172.5	1.61	0	41.72	3.18
CC20.03	178.6	2.33	0	35.02	5.57
CC20.04	205.4	2.92	3.8	38.67	8.73
CC20.05	213.6	4.66	0	36.34	7.92
CC20.06	191.3	8.18	662.87	42.74	7.25
CC20.07	846	18.33	59.78	20.52	4.49
CC20.08	964	6.86	13.81	20.75	4.23
CC20.09	908	8.7	21.06	21.22	7.48
CC20.10	998	8.87	83.94	18.65	3.85
CC20.11	962	15.88	115.88	16.32	9.91
CC20.12	916	2.15	62.92	20.99	7.58
CC20.13	1896	0.5	0	46.57	17.35
CC20.14	1834	0.68	0	37.51	3.42
CC20.15	2210	0.83	0	41.26	3.36
CC20.16	1980	0.92	894.73	43.8	6.83
CC20.17	2030	1.35	67.15	41.62	6.23
CC20.18	2070	1.56	65.33	44.67	1.51
CC21.01	183	1.11	146.07	44.63	10.22
CC21.02	191.7	2.48	0	41.72	19.34
CC21.03	165.4	0.76	169.04	40.7	19.18
CC21.04	173.4	4.13	35.26	47.07	23.22
CC21.05	219.9	5.61	0	39.85	14.81
CC21.06	233.8	3.83	0	41.03	16.77
CC21.07	940	4	107.45	3.92	4.62
CC21.08	992	5.51	91.35	9.52	2.97
CC21.09	950	5.94	29.13	8.38	3.82
CC21.10	1096	3.52	46.65	9.47	3.42
CC21.11	1088	4.29	34.92	11.1	3.95
CC21.12	960	2.05	69.28	10.91	2.13
CC21.13	1788	1.53	0	46.96	9.34
CC21.14	2478	1.1	0	46.96	20.27
CC21.15	2540	0.84	0	53.05	15.35
CC21.16	1900	0.99	0	47.09	46.1
CC21.17	1974	0.77	0	47.09	18.46
CC21.18	1780	0.68	0	42.58	16.19
CC22.01	166.1	2.13	33.92	42.57	4.84
CC22.02	185	2.53	269.54	45.68	5.1
CC22.03	170.8	0.94	0	40.36	5.32
CC22.04	181.5	3.94	120.87	41.03	11.49
CC22.05	186.3	3.15	0	41.37	6.716
CC22.06	188.8	3	0	37.5	9.75
CC22.07	928	3.49	67.61	10.97	13.7
CC22.08	730	6.06	129.16	14.58	3.65
CC22.09	786	4.41	63.3	12.58	5.76
CC22.10	788	3.51	38.76	12.8	2.87
CC22.11	936	3.12	45.8	11.96	4.41
CC22.12	910	2.1	29.41	11.3	2.88
CC22.13	1670	1.02	0	54.48	11.93
CC22.14	1540	1.32	0	43.92	11.8
CC22.15	1436	1.24	0	45.04	19.12
CC22.16	1910	1.24	0	49.07	33.52
CC22.17	1756	1.07	0	47.22	17.72
CC22.18	2244	0.99	0	48.53	14.53
CC23.01	187.6	1.72	141.42	35.68	7.78
CC23.02	199.7	2.77	0	39.85	8.32
CC23.03	209.1	0.82	0	36.51	8.96
CC23.04	233.2	9.37	16.25	41.89	15.23
CC23.05	220.4	6.87	174.06	47.07	5.25
CC23.06	189.5	3.67	202.87	44.29	10.59
CC23.07	940	4.34	17.01	10.23	11.19
CC23.08	1080	2.97	16.34	11.49	2.23
CC23.09	1094	3.82	79.83	11.96	12.24
CC23.10	1066	5.55	223.39	13.23	7.16
CC23.11	1030	6.66	115.7	11.1	6.93
CC23.12	1052	2.25	36.27	13.3	6.7
CC23.13	2302	0.82	242.39	47.35	22.77
CC23.14	2420	0.75	0	46.06	10.2
CC23.15	2440	1.26	0	44.92	29.42
CC23.16	2150	1.29	0	44.42	38.25
CC23.17	1992	0.98	0	45.93	21.44
CC23.18	2132	1.89	0	37.51	22.82
CC24.01	166.3	1.91	0	46.2	8.71
CC24.02	172.8	3.36	59.83	41.72	4.88
CC24.03	188.6	6.01	0	40.36	11.41
CC24.04	217.8	4.78	0	39.68	5.46
CC24.05	224.9	4.74	3.17	43.26	4.71
CC24.06	218.2	7.9	104.58	46.2	9.8
CC24.07	846	3.03	98.85	12.73	7.6
CC24.08	768	3.46	50.13	12.87	8.82
CC24.09	874	1.64	22.55	11.43	17.29
CC24.10	736	4.1	16.44	11.1	14.88
CC24.11	746	3.01	27.53	9.52	15.26
CC24.12	706	2.83	50.13	7.93	14.17
CC24.13	1558	1.33	0	48.93	15.16
CC24.14	1748	1.23	16.8	40.91	20.12
CC24.15	1702	1.63	39.19	36.53	11.46
CC24.16	1984	1.31	189.78	42.82	10.4
CC24.17	2218	1.93	161.67	42.94	20.37
CC24.18	1540	2.02	4.88	44.67	8.71
