animal_code	trial	pen	age	sampling_time	sampling_date	chicken_body_weight	has_salmonella	has_clostridium	has_campylobacter	treatment	sex	breed
CA06.13	CA	CA06	35	35	2019-03-11	2293	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA06.14	CA	CA06	35	35	2019-03-11	2526	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA06.15	CA	CA06	36	35	2019-03-12	2432	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA06.16	CA	CA06	36	35	2019-03-12	2386	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA06.17	CA	CA06	37	35	2019-03-13	2592.2	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA06.18	CA	CA06	37	35	2019-03-13	2112	FALSE	FALSE	FALSE	probiotic	Male	Cobb
CA07.01	CA	CA07	7	7	2019-02-11	185.8	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA07.02	CA	CA07	7	7	2019-02-11	168.2	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA07.03	CA	CA07	7	7	2019-02-11	192.6	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA07.04	CA	CA07	8	7	2019-02-12	236.6	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA07.05	CA	CA07	8	7	2019-02-12	217	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA07.06	CA	CA07	8	7	2019-02-12	183.4	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA07.07	CA	CA07	21	21	2019-02-25	966.2	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA07.08	CA	CA07	21	21	2019-02-25	1103.4	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA07.09	CA	CA07	21	21	2019-02-25	971	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA07.10	CA	CA07	22	21	2019-02-26	1011.6	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA07.11	CA	CA07	22	21	2019-02-26	1185.4	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA07.12	CA	CA07	22	21	2019-02-26	1171.2	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA07.13	CA	CA07	35	35	2019-03-11	2224.8	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA07.14	CA	CA07	35	35	2019-03-11	2622.8	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA07.15	CA	CA07	36	35	2019-03-12	2790.4	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA07.16	CA	CA07	36	35	2019-03-12	2745.2	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA07.17	CA	CA07	37	35	2019-03-13	3018.4	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA07.18	CA	CA07	37	35	2019-03-13	2566.8	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA08.01	CA	CA08	7	7	2019-02-11	171	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA08.02	CA	CA08	7	7	2019-02-11	183.6	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA08.03	CA	CA08	7	7	2019-02-11	121.8	NA	NA	NA	probiotic	Male	Ross
CA08.04	CA	CA08	8	7	2019-02-12	203.4	FALSE	FALSE	FALSE	probiotic	Male	Ross
CA08.05	CA	CA08	8	7	2019-02-12	194.6	NA	NA	NA	probiotic	Male	Ross
CA08.06	CA	CA08	8	7	2019-02-12	224	FALSE	FALSE	FALSE	probiotic	Male	Ross
